velocidad_bala,distancia,tipo_bala,accion
-8.0,962.0,1,0
-8.0,954.0,1,0
-8.0,946.0,1,0
-8.0,938.0,1,0
-8.0,930.0,1,0
-8.0,922.0,1,0
-8.0,914.0,1,0
-8.0,906.0,1,0
-8.0,898.0,1,0
-8.0,890.0,1,0
-8.0,882.0,1,0
-8.0,874.0,1,0
-8.0,866.0,1,0
-8.0,858.0,1,0
-8.0,850.0,1,0
-8.0,842.0,1,0
-8.0,834.0,1,0
-8.0,826.0,1,0
-8.0,818.0,1,0
-8.0,810.0,1,0
-8.0,802.0,1,0
-8.0,794.0,1,0
-8.0,786.0,1,0
-8.0,778.0,1,0
-8.0,770.0,1,0
-8.0,762.0,1,0
-8.0,754.0,1,0
-8.0,746.0,1,0
-8.0,738.0,1,0
-8.0,730.0,1,0
-8.0,722.0,1,0
-8.0,714.0,1,0
-8.0,706.0,1,0
-8.0,698.0,1,0
-8.0,690.0,1,0
-8.0,682.0,1,0
-8.0,674.0,1,0
-8.0,666.0,1,0
-8.0,658.0,1,0
-8.0,650.0,1,0
-8.0,642.0,1,0
-8.0,634.0,1,0
-8.0,626.0,1,0
-8.0,618.0,1,0
-8.0,610.0,1,0
-8.0,602.0,1,0
-8.0,594.0,1,0
-8.0,586.0,1,0
-8.0,578.0,1,0
-8.0,570.0,1,0
-8.0,562.0,1,0
-8.0,554.0,1,0
-8.0,546.0,1,0
-8.0,538.0,1,0
-8.0,530.0,1,0
-8.0,522.0,1,0
-8.0,514.0,1,0
-8.0,506.0,1,0
-8.0,498.0,1,0
-8.0,490.0,1,0
-8.0,482.0,1,0
-8.0,474.0,1,0
-8.0,466.0,1,0
-8.0,458.0,1,0
-8.0,450.0,1,0
-8.0,442.0,1,0
-8.0,434.0,1,0
-8.0,426.0,1,0
-8.0,418.0,1,0
-8.0,410.0,1,0
-8.0,402.0,1,0
-8.0,394.0,1,0
-8.0,386.0,1,0
-8.0,378.0,1,0
-8.0,370.0,1,0
-8.0,362.0,1,0
-8.0,354.0,1,0
-8.0,346.0,1,0
-8.0,338.0,1,0
-8.0,330.0,1,0
-8.0,322.0,1,0
-8.0,314.0,1,0
-8.0,306.0,1,0
-8.0,298.0,1,0
-8.0,290.0,1,0
-8.0,282.0,1,0
-8.0,274.0,1,0
-8.0,266.0,1,0
-8.0,258.0,1,0
-8.0,250.0,1,0
-8.0,242.0,1,0
-8.0,234.0,1,0
-8.0,226.0,1,0
-8.0,218.0,1,0
-8.0,210.0,1,0
-8.0,202.0,1,0
-8.0,194.0,1,0
-8.0,186.0,1,0
-8.0,178.0,1,0
-8.0,170.0,1,0
-8.0,162.0,1,2
-8.0,154.0,1,2
-8.0,146.0,1,2
-8.0,138.0,1,2
-8.0,130.0,1,2
-8.0,122.0,1,2
-8.0,114.0,1,2
-8.0,106.0,1,2
-8.0,98.0,1,2
-8.0,90.0,1,2
-8.0,82.0,1,2
-8.0,74.0,1,2
-8.0,66.0,1,2
-8.0,58.0,1,2
-8.0,50.0,1,2
-8.0,42.0,1,2
-8.0,34.0,1,2
-8.0,26.0,1,2
-8.0,18.0,1,2
-8.0,10.0,1,2
-8.0,2.0,1,2
-8.0,6.0,1,2
-8.0,14.0,1,2
-8.0,22.0,1,2
-8.0,30.0,1,0
-8.0,38.0,1,0
-8.0,46.0,1,0
-8.0,54.0,1,0
-8.0,62.0,1,0
-8.0,70.0,1,0
-11.0,959.0,1,0
-11.0,948.0,1,0
-11.0,937.0,1,0
-11.0,926.0,1,0
-11.0,915.0,1,0
-11.0,904.0,1,0
-11.0,893.0,1,0
-11.0,882.0,1,0
-11.0,871.0,1,0
-11.0,860.0,1,0
-11.0,849.0,1,0
-11.0,838.0,1,0
-11.0,827.0,1,0
-11.0,816.0,1,0
-11.0,805.0,1,0
-11.0,794.0,1,0
-11.0,783.0,1,0
-11.0,772.0,1,0
-11.0,761.0,1,0
-11.0,750.0,1,0
-11.0,739.0,1,0
-11.0,728.0,1,0
-11.0,717.0,1,0
-11.0,706.0,1,0
-11.0,695.0,1,0
-11.0,684.0,1,0
-11.0,673.0,1,0
-11.0,662.0,1,0
-11.0,651.0,1,0
-11.0,640.0,1,0
-11.0,629.0,1,0
-11.0,618.0,1,0
-11.0,607.0,1,0
-11.0,596.0,1,0
-11.0,585.0,1,0
-11.0,574.0,1,0
-11.0,563.0,1,0
-11.0,552.0,1,0
-11.0,541.0,1,0
-11.0,530.0,1,0
-11.0,519.0,1,0
-11.0,508.0,1,0
-11.0,497.0,1,0
-11.0,486.0,1,0
-11.0,475.0,1,0
-11.0,464.0,1,0
-11.0,453.0,1,0
-11.0,442.0,1,0
-11.0,431.0,1,0
-11.0,420.0,1,0
-11.0,409.0,1,0
-11.0,398.0,1,0
-11.0,387.0,1,0
-11.0,376.0,1,0
-11.0,365.0,1,0
-11.0,354.0,1,0
-11.0,343.0,1,0
-11.0,332.0,1,0
-11.0,321.0,1,0
-11.0,310.0,1,0
-11.0,299.0,1,0
-11.0,288.0,1,0
-11.0,277.0,1,0
-11.0,266.0,1,0
-11.0,255.0,1,0
-11.0,244.0,1,0
-11.0,233.0,1,0
-11.0,222.0,1,0
-11.0,211.0,1,0
-11.0,200.0,1,0
-11.0,189.0,1,0
-11.0,178.0,1,0
-11.0,167.0,1,0
-11.0,156.0,1,2
-11.0,145.0,1,2
-11.0,134.0,1,2
-11.0,123.0,1,2
-11.0,112.0,1,2
-11.0,101.0,1,2
-11.0,90.0,1,2
-11.0,79.0,1,2
-11.0,68.0,1,2
-11.0,57.0,1,2
-11.0,46.0,1,2
-11.0,35.0,1,2
-11.0,24.0,1,2
-11.0,13.0,1,2
-11.0,2.0,1,2
-11.0,9.0,1,2
-11.0,20.0,1,2
-11.0,31.0,1,2
-11.0,42.0,1,2
-11.0,53.0,1,2
-11.0,64.0,1,2
-8.0,962.0,2,0
-8.0,954.0,2,0
-8.0,946.0,2,0
-8.0,938.0,2,0
-8.0,930.0,2,0
-8.0,922.0,2,0
-8.0,914.0,2,0
-8.0,906.0,2,0
-8.0,898.0,2,0
-8.0,890.0,2,0
-8.0,882.0,2,0
-8.0,874.0,2,0
-8.0,866.0,2,0
-8.0,858.0,2,0
-8.0,850.0,2,0
-8.0,842.0,2,0
-8.0,834.0,2,0
-8.0,826.0,2,0
-8.0,818.0,2,0
-8.0,810.0,2,0
-8.0,802.0,2,0
-8.0,794.0,2,0
-8.0,786.0,2,0
-8.0,778.0,2,0
-8.0,770.0,2,0
-8.0,762.0,2,0
-8.0,754.0,2,0
-8.0,746.0,2,0
-8.0,738.0,2,0
-8.0,730.0,2,0
-8.0,722.0,2,0
-8.0,714.0,2,0
-8.0,706.0,2,0
-8.0,698.0,2,0
-8.0,690.0,2,0
-8.0,682.0,2,0
-8.0,674.0,2,0
-8.0,666.0,2,0
-8.0,658.0,2,0
-8.0,650.0,2,0
-8.0,642.0,2,0
-8.0,634.0,2,0
-8.0,626.0,2,0
-8.0,618.0,2,0
-8.0,610.0,2,0
-8.0,602.0,2,0
-8.0,594.0,2,0
-8.0,586.0,2,0
-8.0,578.0,2,0
-8.0,570.0,2,0
-8.0,562.0,2,0
-8.0,554.0,2,0
-8.0,546.0,2,0
-8.0,538.0,2,0
-8.0,530.0,2,0
-8.0,522.0,2,0
-8.0,514.0,2,0
-8.0,506.0,2,0
-8.0,498.0,2,0
-8.0,490.0,2,0
-8.0,482.0,2,0
-8.0,474.0,2,0
-8.0,466.0,2,0
-8.0,458.0,2,0
-8.0,450.0,2,0
-8.0,442.0,2,0
-8.0,434.0,2,0
-8.0,426.0,2,0
-8.0,418.0,2,0
-8.0,410.0,2,0
-8.0,402.0,2,0
-8.0,394.0,2,0
-8.0,386.0,2,0
-8.0,378.0,2,0
-8.0,370.0,2,0
-8.0,362.0,2,0
-8.0,354.0,2,0
-8.0,346.0,2,0
-8.0,338.0,2,0
-8.0,330.0,2,0
-8.0,322.0,2,0
-8.0,314.0,2,0
-8.0,306.0,2,0
-8.0,298.0,2,0
-8.0,290.0,2,0
-8.0,282.0,2,0
-8.0,274.0,2,0
-8.0,266.0,2,0
-8.0,258.0,2,0
-8.0,250.0,2,0
-8.0,242.0,2,0
-8.0,234.0,2,0
-8.0,226.0,2,0
-8.0,218.0,2,0
-8.0,210.0,2,0
-8.0,202.0,2,0
-8.0,194.0,2,0
-8.0,186.0,2,0
-8.0,178.0,2,0
-8.0,170.0,2,0
-8.0,162.0,2,0
-8.0,154.0,2,0
-8.0,146.0,2,0
-8.0,138.0,2,0
-8.0,130.0,2,0
-8.0,122.0,2,0
-8.0,114.0,2,0
-8.0,106.0,2,0
-8.0,98.0,2,0
-8.0,90.0,2,0
-8.0,82.0,2,0
-8.0,74.0,2,0
-8.0,66.0,2,0
-8.0,58.0,2,0
-8.0,50.0,2,0
-8.0,42.0,2,0
-8.0,34.0,2,0
-8.0,26.0,2,0
-8.0,18.0,2,0
-8.0,10.0,2,0
-8.0,2.0,2,0
-8.0,6.0,2,0
-8.0,14.0,2,0
-8.0,22.0,2,0
-8.0,30.0,2,0
-8.0,38.0,2,0
-8.0,46.0,2,0
-8.0,54.0,2,0
-8.0,62.0,2,0
-8.0,70.0,2,0
-12.0,958.0,1,0
-12.0,946.0,1,0
-12.0,934.0,1,0
-12.0,922.0,1,0
-12.0,910.0,1,0
-12.0,898.0,1,0
-12.0,886.0,1,0
-12.0,874.0,1,0
-12.0,862.0,1,0
-12.0,850.0,1,0
-12.0,838.0,1,0
-12.0,826.0,1,0
-12.0,814.0,1,0
-12.0,802.0,1,0
-12.0,790.0,1,0
-12.0,778.0,1,0
-12.0,766.0,1,0
-12.0,754.0,1,0
-12.0,742.0,1,0
-12.0,730.0,1,0
-12.0,718.0,1,0
-12.0,706.0,1,0
-12.0,694.0,1,0
-12.0,682.0,1,0
-12.0,670.0,1,0
-12.0,658.0,1,0
-12.0,646.0,1,0
-12.0,634.0,1,0
-12.0,622.0,1,0
-12.0,610.0,1,0
-12.0,598.0,1,0
-12.0,586.0,1,0
-12.0,574.0,1,0
-12.0,562.0,1,0
-12.0,550.0,1,0
-12.0,538.0,1,0
-12.0,526.0,1,0
-12.0,514.0,1,0
-12.0,502.0,1,0
-12.0,490.0,1,0
-12.0,478.0,1,0
-12.0,466.0,1,0
-12.0,454.0,1,0
-12.0,442.0,1,0
-12.0,430.0,1,0
-12.0,418.0,1,0
-12.0,406.0,1,0
-12.0,394.0,1,0
-12.0,382.0,1,0
-12.0,370.0,1,0
-12.0,358.0,1,0
-12.0,346.0,1,0
-12.0,334.0,1,0
-12.0,322.0,1,0
-12.0,310.0,1,0
-12.0,298.0,1,0
-12.0,286.0,1,0
-12.0,274.0,1,0
-12.0,262.0,1,0
-12.0,250.0,1,0
-12.0,238.0,1,0
-12.0,226.0,1,0
-12.0,214.0,1,0
-12.0,202.0,1,0
-12.0,190.0,1,0
-12.0,178.0,1,0
-12.0,166.0,1,0
-12.0,154.0,1,2
-12.0,142.0,1,2
-12.0,130.0,1,2
-12.0,118.0,1,2
-12.0,106.0,1,2
-12.0,94.0,1,2
-12.0,82.0,1,2
-12.0,70.0,1,2
-12.0,58.0,1,2
-12.0,46.0,1,2
-12.0,34.0,1,2
-12.0,22.0,1,2
-12.0,10.0,1,2
-12.0,2.0,1,2
-12.0,14.0,1,2
-12.0,26.0,1,2
-12.0,38.0,1,2
-12.0,50.0,1,2
-12.0,62.0,1,2
-6.0,964.0,1,2
-6.0,958.0,1,0
-6.0,952.0,1,0
-6.0,946.0,1,0
-6.0,940.0,1,0
-6.0,934.0,1,0
-6.0,928.0,1,0
-6.0,922.0,1,0
-6.0,916.0,1,0
-6.0,910.0,1,0
-6.0,904.0,1,0
-6.0,898.0,1,0
-6.0,892.0,1,0
-6.0,886.0,1,0
-6.0,880.0,1,0
-6.0,874.0,1,0
-6.0,868.0,1,0
-6.0,862.0,1,0
-6.0,856.0,1,0
-6.0,850.0,1,0
-6.0,844.0,1,0
-6.0,838.0,1,0
-6.0,832.0,1,0
-6.0,826.0,1,0
-6.0,820.0,1,0
-6.0,814.0,1,0
-6.0,808.0,1,0
-6.0,802.0,1,0
-6.0,796.0,1,0
-6.0,790.0,1,0
-6.0,784.0,1,0
-6.0,778.0,1,0
-6.0,772.0,1,0
-6.0,766.0,1,0
-6.0,760.0,1,0
-6.0,754.0,1,0
-6.0,748.0,1,0
-6.0,742.0,1,0
-6.0,736.0,1,0
-6.0,730.0,1,0
-6.0,724.0,1,0
-6.0,718.0,1,0
-6.0,712.0,1,0
-6.0,706.0,1,0
-6.0,700.0,1,0
-6.0,694.0,1,0
-6.0,688.0,1,0
-6.0,682.0,1,0
-6.0,676.0,1,0
-6.0,670.0,1,0
-6.0,664.0,1,0
-6.0,658.0,1,0
-6.0,652.0,1,0
-6.0,646.0,1,0
-6.0,640.0,1,0
-6.0,634.0,1,0
-6.0,628.0,1,0
-6.0,622.0,1,0
-6.0,616.0,1,0
-6.0,610.0,1,0
-6.0,604.0,1,0
-6.0,598.0,1,0
-6.0,592.0,1,0
-6.0,586.0,1,0
-6.0,580.0,1,0
-6.0,574.0,1,0
-6.0,568.0,1,0
-6.0,562.0,1,0
-6.0,556.0,1,0
-6.0,550.0,1,0
-6.0,544.0,1,0
-6.0,538.0,1,0
-6.0,532.0,1,0
-6.0,526.0,1,0
-6.0,520.0,1,0
-6.0,514.0,1,0
-6.0,508.0,1,0
-6.0,502.0,1,0
-6.0,496.0,1,0
-6.0,490.0,1,0
-6.0,484.0,1,0
-6.0,478.0,1,0
-6.0,472.0,1,0
-6.0,466.0,1,0
-6.0,460.0,1,0
-6.0,454.0,1,0
-6.0,448.0,1,0
-6.0,442.0,1,0
-6.0,436.0,1,0
-6.0,430.0,1,0
-6.0,424.0,1,0
-6.0,418.0,1,0
-6.0,412.0,1,0
-6.0,406.0,1,0
-6.0,400.0,1,0
-6.0,394.0,1,0
-6.0,388.0,1,0
-6.0,382.0,1,0
-6.0,376.0,1,0
-6.0,370.0,1,0
-6.0,364.0,1,0
-6.0,358.0,1,0
-6.0,352.0,1,0
-6.0,346.0,1,0
-6.0,340.0,1,0
-6.0,334.0,1,0
-6.0,328.0,1,0
-6.0,322.0,1,0
-6.0,316.0,1,0
-6.0,310.0,1,0
-6.0,304.0,1,0
-6.0,298.0,1,0
-6.0,292.0,1,0
-6.0,286.0,1,0
-6.0,280.0,1,0
-6.0,274.0,1,0
-6.0,268.0,1,0
-6.0,262.0,1,0
-6.0,256.0,1,0
-6.0,250.0,1,0
-6.0,244.0,1,0
-6.0,238.0,1,0
-6.0,232.0,1,0
-6.0,226.0,1,0
-6.0,220.0,1,0
-6.0,214.0,1,0
-6.0,208.0,1,0
-6.0,202.0,1,0
-6.0,196.0,1,0
-6.0,190.0,1,0
-6.0,184.0,1,0
-6.0,178.0,1,0
-6.0,172.0,1,0
-6.0,166.0,1,0
-6.0,160.0,1,0
-6.0,154.0,1,0
-6.0,148.0,1,0
-6.0,142.0,1,0
-6.0,136.0,1,2
-6.0,130.0,1,2
-6.0,124.0,1,2
-6.0,118.0,1,2
-6.0,112.0,1,2
-6.0,106.0,1,2
-6.0,100.0,1,2
-6.0,94.0,1,2
-6.0,88.0,1,2
-6.0,82.0,1,2
-6.0,76.0,1,2
-6.0,70.0,1,2
-6.0,64.0,1,2
-6.0,58.0,1,2
-6.0,52.0,1,2
-6.0,46.0,1,2
-6.0,40.0,1,2
-6.0,34.0,1,2
-6.0,28.0,1,2
-6.0,22.0,1,2
-6.0,16.0,1,2
-6.0,10.0,1,2
-6.0,4.0,1,2
-6.0,2.0,1,2
-6.0,8.0,1,2
-6.0,14.0,1,2
-6.0,20.0,1,0
-6.0,26.0,1,0
-6.0,32.0,1,0
-6.0,38.0,1,0
-6.0,44.0,1,0
-6.0,50.0,1,0
-6.0,56.0,1,0
-6.0,62.0,1,0
-6.0,68.0,1,0
-12.0,958.0,1,0
-12.0,946.0,1,0
-12.0,934.0,1,0
-12.0,922.0,1,0
-12.0,910.0,1,0
-12.0,898.0,1,0
-12.0,886.0,1,0
-12.0,874.0,1,0
-12.0,862.0,1,0
-12.0,850.0,1,0
-12.0,838.0,1,0
-12.0,826.0,1,0
-12.0,814.0,1,0
-12.0,802.0,1,0
-12.0,790.0,1,0
-12.0,778.0,1,0
-12.0,766.0,1,0
-12.0,754.0,1,0
-12.0,742.0,1,0
-12.0,730.0,1,0
-12.0,718.0,1,0
-12.0,706.0,1,0
-12.0,694.0,1,0
-12.0,682.0,1,0
-12.0,670.0,1,0
-12.0,658.0,1,0
-12.0,646.0,1,0
-12.0,634.0,1,0
-12.0,622.0,1,0
-12.0,610.0,1,0
-12.0,598.0,1,0
-12.0,586.0,1,0
-12.0,574.0,1,0
-12.0,562.0,1,0
-12.0,550.0,1,0
-12.0,538.0,1,0
-12.0,526.0,1,0
-12.0,514.0,1,0
-12.0,502.0,1,0
-12.0,490.0,1,0
-12.0,478.0,1,0
-12.0,466.0,1,0
-12.0,454.0,1,0
-12.0,442.0,1,0
-12.0,430.0,1,0
-12.0,418.0,1,0
-12.0,406.0,1,0
-12.0,394.0,1,0
-12.0,382.0,1,0
-12.0,370.0,1,0
-12.0,358.0,1,0
-12.0,346.0,1,0
-12.0,334.0,1,0
-12.0,322.0,1,0
-12.0,310.0,1,0
-12.0,298.0,1,0
-12.0,286.0,1,0
-12.0,274.0,1,0
-12.0,262.0,1,0
-12.0,250.0,1,0
-12.0,238.0,1,0
-12.0,226.0,1,0
-12.0,214.0,1,0
-12.0,202.0,1,0
-12.0,190.0,1,2
-12.0,178.0,1,2
-12.0,166.0,1,2
-12.0,154.0,1,2
-12.0,142.0,1,2
-12.0,130.0,1,2
-12.0,118.0,1,2
-12.0,106.0,1,2
-12.0,94.0,1,2
-12.0,82.0,1,2
-12.0,70.0,1,2
-12.0,58.0,1,2
-12.0,46.0,1,2
-12.0,34.0,1,2
-12.0,22.0,1,2
-12.0,10.0,1,2
-12.0,2.0,1,2
-12.0,14.0,1,2
-12.0,26.0,1,2
-12.0,38.0,1,2
-12.0,50.0,1,2
-12.0,62.0,1,2
-7.0,963.0,2,0
-7.0,956.0,2,0
-7.0,949.0,2,0
-7.0,942.0,2,0
-7.0,935.0,2,0
-7.0,928.0,2,0
-7.0,921.0,2,0
-7.0,914.0,2,0
-7.0,907.0,2,0
-7.0,900.0,2,0
-7.0,893.0,2,0
-7.0,886.0,2,0
-7.0,879.0,2,0
-7.0,872.0,2,0
-7.0,865.0,2,0
-7.0,858.0,2,0
-7.0,851.0,2,0
-7.0,844.0,2,0
-7.0,837.0,2,0
-7.0,830.0,2,0
-7.0,823.0,2,0
-7.0,816.0,2,0
-7.0,809.0,2,0
-7.0,802.0,2,0
-7.0,795.0,2,0
-7.0,788.0,2,0
-7.0,781.0,2,0
-7.0,774.0,2,0
-7.0,767.0,2,0
-7.0,760.0,2,0
-7.0,753.0,2,0
-7.0,746.0,2,0
-7.0,739.0,2,0
-7.0,732.0,2,0
-7.0,725.0,2,0
-7.0,718.0,2,0
-7.0,711.0,2,0
-7.0,704.0,2,0
-7.0,697.0,2,0
-7.0,690.0,2,0
-7.0,683.0,2,0
-7.0,676.0,2,0
-7.0,669.0,2,0
-7.0,662.0,2,0
-7.0,655.0,2,0
-7.0,648.0,2,0
-7.0,641.0,2,0
-7.0,634.0,2,0
-7.0,627.0,2,0
-7.0,620.0,2,0
-7.0,613.0,2,0
-7.0,606.0,2,0
-7.0,599.0,2,0
-7.0,592.0,2,0
-7.0,585.0,2,0
-7.0,578.0,2,0
-7.0,571.0,2,0
-7.0,564.0,2,0
-7.0,557.0,2,0
-7.0,550.0,2,0
-7.0,543.0,2,0
-7.0,536.0,2,0
-7.0,529.0,2,0
-7.0,522.0,2,0
-7.0,515.0,2,0
